round,train_loss_mean,train_acc_mean,train_prec_mean,train_rec_mean,train_f1_mean,train_mcc_mean,train_auc_mean,train_agg_acc,train_agg_prec,train_agg_rec,train_agg_f1,train_agg_mcc,train_agg_auc,val_loss_mean,val_acc_mean,val_prec_mean,val_rec_mean,val_f1_mean,val_mcc_mean,val_auc_mean,val_agg_acc,val_agg_prec,val_agg_rec,val_agg_f1,val_agg_mcc,val_agg_auc
1,0.20946060726915405,0.9209279506588169,0.9158651598045404,0.8891233909363427,0.9021003046324556,0.8360087971938056,0.9708534963983706,0.8631693648816936,0.8486869528970404,0.7978056426332288,0.822460109068875,0.7122245286663929,0.934841581266678,0.2907706956164744,0.8721250374587952,0.8721801236826061,0.8048135609973066,0.8371143117861571,0.7327931979357485,0.9475790062403812,0.8716752216518898,0.8684546615581098,0.7981220657276995,0.8318042813455657,0.7300657926032175,0.9455229959670235
2,0.12811024958901507,0.9518222596019064,0.9481535311860221,0.9336646975842002,0.9408478259120908,0.8999159898509309,0.9892177750491238,0.9441936488169365,0.9372134741877616,0.9212382445141066,0.9291571979053453,0.8832163111537579,0.9857991610250588,0.1548875263365433,0.9439460343622016,0.976488600533592,0.8820887592972398,0.9266867272578401,0.8842154846010087,0.9871904239292542,0.9402706486234251,0.9750656167979003,0.8720657276995305,0.9206939281288724,0.8765283408881673,0.9863900677496427
3,0.07397424170702444,0.9737212325101308,0.9685064721729417,0.9665182507494269,0.9675111476703737,0.945256616695291,0.9957461205368734,0.9673879202988792,0.9630361731567504,0.9545454545454546,0.9587720161369674,0.9318230609015312,0.9946527896407615,0.14921783887420184,0.9459610053940666,0.994074576380648,0.8706046603573105,0.9276759884281581,0.8898569423630804,0.9936550723438391,0.9412039197386841,0.9945504087193461,0.8568075117370892,0.9205548549810845,0.8804188296077217,0.993468687155206
4,0.0652915090648957,0.9780360374136656,0.9740558585824991,0.9712021689296421,0.972624794818086,0.954131493112132,0.9968042126486443,0.975793897882939,0.9705478107205969,0.9684561128526645,0.9695008335785035,0.94943658004202,0.9959921190882536,0.07593677941656435,0.9738501190357274,0.9839237111222683,0.9515802218982431,0.9673115910796098,0.9458256759727908,0.9963554478585555,0.973401773215119,0.9865361077111383,0.9460093896713615,0.9658478130617136,0.9446398127297011,0.9962715876981486
5,0.05373127689684258,0.9811644621148405,0.9768384487735877,0.9774207591253747,0.9771193406289302,0.9609958190621828,0.9980284788583387,0.9815535491905355,0.9763163045605794,0.9772727272727273,0.9767942817977088,0.9614874942329541,0.9973532573099368,0.08093981454290798,0.9705053607698199,0.9633752664457067,0.964775507178334,0.9639495435479892,0.9388950487142782,0.9964710479186256,0.9706019598693421,0.9657615112160567,0.960093896713615,0.96291936433196,0.9385783377200211,0.996154307720841
6,0.04155633095545766,0.9866745673726329,0.9835573220546803,0.983545670957503,0.9835484476467155,0.972253112488241,0.9986244640564488,0.9860678704856787,0.9835067740035343,0.9813871473354232,0.9824458173972737,0.970898260248842,0.9984180922149861,0.05225522634783684,0.9827694744114808,0.9840334699453552,0.9726704391015345,0.9782331526069905,0.9639879659805297,0.9979738133260131,0.9808679421371909,0.984468339307049,0.9671361502347418,0.9757252812314979,0.9600430043896743,0.9972161915463864
7,0.035712918106212896,0.9903241838061014,0.9890857242575163,0.9864717421971434,0.9877752561598537,0.979710900570335,0.9985286094700354,0.9870018679950187,0.9839247206430112,0.983346394984326,0.9836354728074473,0.972855136852773,0.9981653684964311,0.061894178792568574,0.9775273241101455,0.9864368900860516,0.9577639674812819,0.9718544599819021,0.9532941987955501,0.9983463517560194,0.9766682221185254,0.9866504854368932,0.954225352112676,0.9701670644391408,0.9513767195146823,0.9978971427324599
8,0.0325098857264651,0.9901266661569437,0.9873831849602119,0.9882516311056251,0.9878171965254519,0.9794446082046266,0.9982953753723215,0.988947696139477,0.9870435806831567,0.9851097178683386,0.9860757011178662,0.9769145342961514,0.9981895681397187,0.04649933944262874,0.9845492874504711,0.9858750284141136,0.9753020830759347,0.9804480524549215,0.9677327858223848,0.9981863984091122,0.9827344843677088,0.986857825567503,0.9694835680751174,0.9780935464772055,0.9639517277173341,0.9975453028005368
9,0.044102042771024905,0.9865955603129699,0.982994207021667,0.9841518250749427,0.9835713172633265,0.972154934151233,0.9979312552574207,0.9871575342465754,0.9824184411017777,0.9853056426332288,0.9838599237014575,0.97319911420462,0.9972792162685563,0.053140886839308864,0.9811275305497287,0.9971537001897532,0.954156267760508,0.9750052845508776,0.9605607884720997,0.998216033996594,0.9766682221185254,0.9962871287128713,0.9448356807511737,0.9698795180722891,0.9517512324364897,0.9975380296236496
10,0.029472432907429437,0.9902298850574713,0.9879714889937713,0.9882626520895785,0.9881170276352358,0.9797480358381809,0.9991220885649101,0.9887920298879203,0.9858934169278997,0.9858934169278997,0.9858934169278997,0.9765958962667427,0.9987288798973096,0.04595325310970728,0.9820640004328571,0.9643231014388238,0.9938347871210063,0.9788273469241002,0.9635202728550901,0.9988243273170377,0.9836677554829678,0.9668571428571429,0.9929577464788732,0.9797336421540244,0.9663008497981777,0.9984726328536673

final_test
client,loss,acc,precision,recall,f1,mcc,auc
Client1,0.038027125067681945,0.9873670212765957,0.9806678383128296,0.9858657243816255,0.9832599118942731,0.9731246392825941,0.9978791052310382
Client2,0.060316350026834456,0.9765258215962441,0.9501661129568106,1.0,0.9744463373083475,0.9538295352828562,0.999881138691337
